1;и;
2;в;
3;не;
4;на;
5;по;
6;я;
7;быть;
8;он;
9;ему;
10;с;
11;что;
12;это;
13;этот;
14;она;
15;к;
16;но;
17;однако;sin embargo
18;они;
19;их;
20;них;
21;мы;
22;нам;
23;нас;
24;как;
25;сколько;
26;из;
27;от;
28;у;
29;который;
30;то;
31;весь;
32;целый;entero
33;год;
34;так;
35;о;
36;об;
37;около;
38;для;
39;за;
40;ты;
41;тебя;
42;все;
43;тот;
44;вы;
45;человек;persona
46;человеческий;humano
47;людской;
48;человека;
49;такой;
50;его;
51;сказать;
52;рассказать;decir
53;только;
54;лишь;
55;или;
56;еще;
57;ещё не;
58;один;
59;одна;
60;уже;
61;до;
62;перед;ante
63;прежде чем;
64;время;tiempo
65;раз;
66;срок;plazo
67;если;
68;ли;
69;когда;
70;при;
71;другой;
72;говорить;hablar
73;поговорить;hablar
74;разговаривать;hablar
75;наш;
76;нашей;
77;мой;
78;знать;saber
79;узнать;saber
80;понимать;entender
81;стать;convertirse en
82;становиться;convertirse en
83;дело;asunto
84;бизнес;negocio
85;жизнь;vida
86;кто;
87;первый;
88;впервые;
89;сначала;
90;очень;
91;весьма;
92;два;
93;двух;
94;день;
95;днем;
96;сутки;
97;ее;
98;новый;
99;рука;mano
100;ручной;manual
101;даже;
102;вообще;
103;как только;
104;однажды;una vez
105;где;
106;куда;
107;там;
108;под;
109;согласно;
110;можно;
111;мочь;
112;какой;
113;после;
114;спустя;
115;свое;
116;работа;trabajo
117;работать;trabajar
118;деятельность;actividad
119;без;
120;отсутствие;falta
121;самый;
122;потом;
123;надо;
124;хотеть;querer
125;захотеть;
126;слово;palabra
127;идти;ir
128;пойти;
129;поехать;ir
130;большой;gran
131;крупный;grande
132;должен;
133;должно;
134;место;lugar
135;дом;casa
136;квартира;apartamento
137;иметь;tener
138;ничто;
139;ничего;
140;ничего не;
141;сейчас;
142;теперь;
143;тут;
144;здесь;
145;сюда;aquí
146;лицо;persona
147;сталкиваться с;
148;столкнуться с;
149;каждый;
150;друг;
151;подруга;
152;подругой;
153;нет;
154;ни;
155;глаз;ojo
156;око;
157;тоже;también
158;слишком;
159;тогда;entonces
160;затем;
161;видеть;ver
162;увидеть;ver
163;посмотреть;ver
164;вопрос;pregunta
165;сомнение;duda
166;через;a través
167;между;entre
168;да;
169;палата;cámara
170;домой;
171;потому;
172;сторона;parte
173;бок;lado
174;какой-то;
175;думать;pensar
176;считать;considerar
177;сделать;hacer
178;делать;hacer
179;страна;país
180;жить;vivir
181;живой;vivo
182;проживать;vivir
183;мир;mundo
184;мирный;de paz
185;мирных;
186;последний;último
187;прошлый;
188;случай;caso
189;голова;cabeza
190;глава;jefe
191;руководитель;jefe
192;более;más
193;больше;
194;что-то;
195;смотреть;ver
196;ребенок;niño
197;дитя;niño
198;детская;
199;просто;simplemente
200;конечно;
201;безусловно;sin duda
202;несомненно;sin duda
203;сила;fuerza
204;заставить;hacer que
205;российский;
206;русский;
207;конец;
208;прекращение;cesación
209;впереди;
210;спереди;
211;несколько;
212;ряд;serie
213;вид;tipo
214;мнение;opinión
215;взгляд;vista
216;система;sistema
217;системный;sistémico
218;всегда;siempre
219;постоянно;constantemente
220;вечно;para siempre
221;три;
222;трех;
223;тремя;
224;понять;entender
225;часть;parte
226;участие;participación
227;спросить;preguntar
228;просить;pedir
229;попросить;pedir
230;город;ciudad
231;городок;ciudad
232;городской;urbano
233;дать;dar
234;давать;dar
235;отдать;
236;также;también
237;кроме того;
238;никто;
239;получить;obtener
240;получать;recibir
241;отношение;actitud
242;позиция;posición
243;подход;enfoque
244;второй;
245;секунда;
246;во-вторых;
247;именно;
248;точно;exactamente
249;совсем;
250;ваш;
251;твой;
252;хотя;
253;несмотря;
254;сидеть;sentar
255;сесть;sentarse
256;садиться;
257;над;
258;выше;anteriormente
259;женщина;
260;жена;esposa
261;оказаться;
262;взять;tomar
263;принять;adoptar
264;принимать;tomar
265;приходить;venir
266;прийти;
267;появляться;aparecer
268;появиться;aparecer
269;казаться;parecer
270;деньги;dinero
271;почему;
272;зачем;
273;вдруг;de repente
274;внезапно;de repente
275;неожиданно;inesperadamente
276;любить;amar
277;любовь;amor
278;нравиться;
279;стоить;costar
280;почти;casi
281;практически;casi
282;чуть не;
283;земля;tierra
284;общий;general
285;генерал;
286;генеральный;general
287;машина;máquina
288;автомобиль;coche
289;автомобильный;
290;вместе с тем;
291;тем не менее;
292;сразу;
293;хорошо;
294;вода;agua
295;водный;
296;отец;
297;папаша;
298;высокий;alto
299;остаться;quedar
300;оставаться;permanecer
301;выйти;
302;много;
303;намного;
304;проблема;problema
305;начать;comenzar
306;начаться;comenzar
307;начинать;comenzar
308;хороший;
309;добрый;
310;отличный;excelente
311;час;hora
312;часок;
313;сегодня;
314;сегодняшний день;
315;право;derecho
316;правый;
317;прямо;
318;нога;pierna
319;ножка;pierna
320;главный;principal
321;основной;principal
322;решение;decisión
323;урегулирование;solución
324;раствор;solución
325;дверь;puerta
326;дверца;
327;показаться;parecer
328;образ;imagen
329;изображение;imagen
330;имидж;
331;писать;escribir
332;написать;escribir
333;записать;grabar
334;история;historia
335;исторический;histórico
336;лучший;
337;наилучший;mejor
338;лучше;
339;власть;poder
340;держава;
341;закон;ley
342;законодательство;legislación
343;война;guerra
344;военный;militar
345;бог;
346;голос;voz
347;голосовой;de voz
348;глас;
349;находить ;
350;поэтому;por lo tanto
351;таким образом;
352;следовательно;por lo tanto
353;стоять;estar
354;встать;levantarse
355;в целом;
356;как правило;
357;обычно;generalmente
358;тысяча;mil
359;вместе;juntos
360;совместный;conjunto
361;сообща;
362;маленький;pequeño
363;небольшой;pequeño
364;малый;pequeño
365;книга;libro
366;книжный;
367;книжка;libro
368;некоторый;
369;решить;resolver
370;решать;resolver
371;принять решение;
372;любой;cualquiera
373;возможность;oportunidad
374;результат;resultado
375;следствие;consecuencia
376;приводить;
377;ночь;noche
378;вечер;noche
379;ночной;
380;стол;mesa
381;таблица;cuadro
382;столик;mesa
383;никогда;nunca
384;никогда не;
385;ни разу не;
386;имя;
387;название;
388;звать;
389;область;área
390;регион;región
391;район;zona
392;молодой;joven
393;юный;joven
394;пройти;
395;проходить;
396;например;
397;к примеру;
398;статья;artículo
399;оно;
400;число;
401;количество;
402;компания;compañía
403;предприятие;empresa
404;фирма;empresa
405;государственный;estatal
406;государство;estado
407;штат;
408;полный;completo
409;полностью;completamente
410;народ;pueblo
411;люди;gente
412;никакой;
413;супруга;esposa
414;настоящий;verdadero
415;реальный;real
416;всякий;
417;группа;grupo
418;развитие;desarrollo
419;разработка;desarrollo
420;процесс;proceso
421;процедура;procedimiento
422;суд;tribunal
423;судебный;judicial
424;ответить;
425;ответ;respuesta
426;старый;viejo
427;прежний;
428;условие;condición
429;состояние;estado
430;средство;medio
431;средства;
432;помнить;recordar
433;вспомнить;recordar
434;запомнить;recordar
435;начало;comienzo
436;ждать;esperar
437;подождать;esperar
438;свет;luz
439;легкое;pulmón
440;путь;camino
441;способ;forma
442;душа;alma
443;соул;
444;нужно;debe
445;необходимый;necesario
446;необходимой;
447;разный;diferente
448;различный;
449;уровень;nivel
450;объем;volumen
451;степень;grado
452;иной;
453;форма;forma
454;образовать;
455;связь;relación
456;подключение;conexión
457;соединение;conexión
458;минута;
459;минутка;minuto
460;кроме;
461;находиться;permanecer
462;опять;de nuevo
463;снова;otra vez
464;вновь;nuevamente
465;белый;blanco
466;белая;
467;собственный;propio
468;улица;calle
469;уличный;
470;стрит;
471;черный;
472;черная;
473;чернокожий;
474;вечерний;
475;основный;
476;базовый;básico
477;качество;calidad
478;качественного;
479;мысль;pensamiento
480;думал;
481;подумал;
482;дорога;camino
483;мать;
484;матерь;
485;мати;
486;действие;acción
487;мера;
488;месяц;mes
489;месячный;
490;язык;lengua
491;языковой;
492;формулировка;formulación
493;зрение;visión
494;мама;
495;играть;jugar
496;сыграть;jugar
497;игра;juego
498;далекий;
499;лежать;estar
500;ложь;mentira
501;врать;
502;лгать;mentir
503;век;siglo
504;столетие;siglo
505;школа;escuela
506;учебный;de estudios
507;цель;objetivo
508;гол;
509;среди;entre
510;общество;sociedad
511;сообщество;comunidad
512;выглядеть;parecer
513;активность;actividad
514;мероприятие;evento
515;организация;organización
516;кто-то;
517;вернуться;volver
518;возвращение;regreso
519;вернуть;devolver
520;президент;presidente
521;председатель;presidente
522;комната;habitación
523;номер;número
524;зал;sala
525;порядок;orden
526;приказ;orden
527;заказ;pedido
528;момент;momento
529;мгновение;momento
530;театр;teatro
531;следовать;seguir
532;последовать;
533;следить за;
534;читать;leer
535;прочитать;leer
536;прочесть;
537;письмо;carta
538;буква;letra
539;послание;mensaje
540;подобный;similar
541;следующий;siguiente
542;ближайший;más cercano
543;утро;mañana
544;утренний;
545;особенно;especialmente
546;помощь;asistencia
547;помочь;ayudar a
548;помогать;ayudar a
549;ситуация;situación
550;положение;situación
551;обстановка;situación
552;роль;papel
553;функция;función
554;ходить;caminar
555;ходьба;caminata
556;рубль;
557;рублем;
558;смысл;sentido
559;называть;
560;позвонить;llamar
561;призывать;
562;рядом;juntos
563;апартамент;
564;назад;
565;обратно;vuelta
566;равный;igual
567;равенство;igualdad
568;из-за;
569;орган;
570;органный;
571;органные;
572;внимание;atención
573;сведения;
574;тело;cuerpo
575;организм;
576;труд;trabajo
577;сын;
578;сынъ;
579;сынок;
580;пять;
581;пяти;
582;пятью;
583;смерть;muerte
584;гибель;muerte
585;смертный;mortal
586;рынок;mercado
587;программа;programa
588;передача;transferencia
589;задача;tarea
590;задание;tarea
591;предпринимательство;
592;известный;conocido
593;окно;ventana
594;стекло;vidrio
595;вести;llevar
596;новость;noticia
597;воинский;
598;армия;ejército
599;разговор;conversación
600;показать;mostrar
601;показывать;
602;правительство;gobierno
603;важный;importante
604;важное значение;
605;семья;familia
606;семейный;familiar
607;семейство;
608;великий;gran
609;производство;producción
610;производственный;de producción
611;продукция;
612;простой;simple
613;третий;
614;в-третьих;
615;насколько;
616;как сильно;
617;огромный;enorme
618;колоссальный;enorme
619;давно;
620;давным-давно;
621;политический;político
622;политической;
623;информация;información
624;информационный;de información
625;действительно;
626;правда;
627;должность;puesto
628;поставить;poner
629;положить;poner
630;надеть;poner
631;бояться;temer
632;наконец;
633;наконец-то;finalmente
634;центр;centro
635;центральный;central
636;происходить;ocurrir
637;произойти;ocurrir
638;иметь место;
639;муж;marido
640;супруг;
641;муженек;
642;автор;autor
643;писатель;escritor
644;писательница;escritora
645;стена;muro
646;стенка;pared
647;существовать;existir
648;иметься;
649;интерес;interés
650;заинтересованность;
651;федерация;federación
652;правило;regla
653;норма;
654;оба;
655;обоих;ambos
656;часто;a menudo
657;зачастую;a menudo
658;нередко;
659;московский;
660;управление;gestión
661;руководство;guía
662;регулирование;regulación
663;слышать;escuchar
664;услышать;escuchar
665;слушать;escuchar
666;быстро;rápidamente
667;оперативно;rápidamente
668;заметить;notar
669;уведомление;notificación
670;замечать;notar
671;как-то;
672;почему-то;
673;мужчина;
674;чувак;
675;долго;cuánto tiempo
676;истина;verdad
677;идея;idea
678;партия;
679;иногда;a veces
680;порой;
681;использовать;usar
682;использование;uso
683;применение;aplicación
