1;и;
2;в;
3;не;
4;на;
5;по;
6;я;
7;быть;
8;он;
9;ему;
10;с;
11;что;
12;это;
13;этот;
14;она;
15;к;
16;но;
17;однако;mais
18;они;
19;их;
20;них;
21;мы;
22;нам;
23;нас;
24;как;
25;сколько;
26;из;
27;от;
28;у;
29;который;
30;то;
31;весь;
32;целый;entier
33;год;
34;так;
35;о;
36;об;
37;около;
38;для;
39;за;
40;ты;
41;тебя;
42;все;
43;тот;
44;вы;
45;человек;personne
46;человеческий;humain
47;людской;
48;человека;
49;такой;
50;его;
51;сказать;
52;рассказать;dire
53;только;
54;лишь;
55;или;
56;еще;
57;ещё не;
58;один;
59;одна;
60;уже;
61;до;
62;перед;avant
63;прежде чем;
64;время;temps
65;раз;
66;срок;durée
67;если;
68;ли;
69;когда;
70;при;
71;другой;
72;говорить;parler
73;поговорить;
74;разговаривать;parler
75;наш;
76;нашей;
77;мой;
78;знать;savoir
79;узнать;savoir
80;понимать;comprendre
81;стать;devenir
82;становиться;devenir
83;дело;affaire
84;бизнес;entreprise
85;жизнь;vie
86;кто;
87;первый;
88;впервые;
89;сначала;
90;очень;
91;весьма;
92;два;
93;двух;
94;день;
95;днем;
96;сутки;
97;ее;
98;новый;
99;рука;main
100;ручной;manuel
101;даже;
102;вообще;
103;как только;
104;однажды;un jour
105;где;
106;куда;
107;там;
108;под;
109;согласно;
110;можно;
111;мочь;
112;какой;
113;после;
114;спустя;
115;свое;
116;работа;travail
117;работать;travailler
118;деятельность;activité
119;без;
120;отсутствие;absence
121;самый;
122;потом;
123;надо;
124;хотеть;vouloir
125;захотеть;
126;слово;mot
127;идти;aller
128;пойти;
129;поехать;aller
130;большой;grand
131;крупный;grand
132;должен;
133;должно;
134;место;place
135;дом;maison
136;квартира;appartement
137;иметь;avoir
138;ничто;
139;ничего;
140;ничего не;
141;сейчас;
142;теперь;
143;тут;
144;здесь;
145;сюда;ici
146;лицо;visage
147;сталкиваться с;
148;столкнуться с;
149;каждый;
150;друг;
151;подруга;
152;подругой;
153;нет;
154;ни;
155;глаз;œil
156;око;
157;тоже;aussi
158;слишком;
159;тогда;alors
160;затем;
161;видеть;voir
162;увидеть;voir
163;посмотреть;voir
164;вопрос;question
165;сомнение;doute
166;через;dans
167;между;entre
168;да;
169;палата;chambre
170;домой;
171;потому;
172;сторона;partie
173;бок;côté
174;какой-то;
175;думать;penser
176;считать;considérer
177;сделать;faire
178;делать;faire
179;страна;pays
180;жить;vivre
181;живой;vivant
182;проживать;vivre
183;мир;monde
184;мирный;de paix
185;мирных;
186;последний;dernier
187;прошлый;
188;случай;cas
189;голова;tête
190;глава;chef
191;руководитель;chef
192;более;plus
193;больше;
194;что-то;
195;смотреть;regarder
196;ребенок;enfant
197;дитя;enfant
198;детская;
199;просто;simplement
200;конечно;
201;безусловно;certainement
202;несомненно;sans aucun doute
203;сила;force
204;заставить;faire
205;российский;
206;русский;
207;конец;
208;прекращение;cessation
209;впереди;devant
210;спереди;
211;несколько;
212;ряд;certain nombre
213;вид;type
214;мнение;opinion
215;взгляд;regard
216;система;système
217;системный;systémique
218;всегда;toujours
219;постоянно;constamment
220;вечно;éternellement
221;три;
222;трех;
223;тремя;
224;понять;comprendre
225;часть;partie
226;участие;participation
227;спросить;demander
228;просить;demander
229;попросить;demander
230;город;ville
231;городок;ville
232;городской;urbain
233;дать;donner
234;давать;donner
235;отдать;donner
236;также;également
237;кроме того;
238;никто;personne
239;получить;obtenir
240;получать;recevoir
241;отношение;attitude
242;позиция;position
243;подход;approche
244;второй;
245;секунда;
246;во-вторых;
247;именно;
248;точно;exactement
249;совсем;
250;ваш;
251;твой;
252;хотя;
253;несмотря;
254;сидеть;s'asseoir
255;сесть;s'asseoir
256;садиться;s'asseoir
257;над;
258;выше;ci-dessus
259;женщина;
260;жена;femme
261;оказаться;s'avérer
262;взять;prendre
263;принять;prendre
264;принимать;prendre
265;приходить;venir
266;прийти;
267;появляться;apparaître
268;появиться;apparaître
269;казаться;sembler
270;деньги;argent
271;почему;
272;зачем;
273;вдруг;soudain
274;внезапно;soudainement
275;неожиданно;soudainement
276;любить;aimer
277;любовь;amour
278;нравиться;aimer
279;стоить;coûter
280;почти;presque
281;практически;presque
282;чуть не;
283;земля;terrain
284;общий;général
285;генерал;
286;генеральный;général
287;машина;voiture
288;автомобиль;voiture
289;автомобильный;
290;вместе с тем;
291;тем не менее;
292;сразу;immédiatement
293;хорошо;
294;вода;eau
295;водный;
296;отец;
297;папаша;
298;высокий;élevé
299;остаться;rester
300;оставаться;rester
301;выйти;sortir
302;много;
303;намного;
304;проблема;problème
305;начать;commencer à
306;начаться;commencer
307;начинать;commencer
308;хороший;
309;добрый;
310;отличный;excellent
311;час;heure
312;часок;
313;сегодня;
314;сегодняшний день;
315;право;droit
316;правый;
317;прямо;
318;нога;jambe
319;ножка;jambe
320;главный;principal
321;основной;principal
322;решение;décision
323;урегулирование;règlement
324;раствор;solution
325;дверь;porte
326;дверца;
327;показаться;sembler
328;образ;image
329;изображение;image
330;имидж;
331;писать;écrire
332;написать;écrire
333;записать;enregistrer
334;история;histoire
335;исторический;historique
336;лучший;
337;наилучший;
338;лучше;
339;власть;pouvoir
340;держава;
341;закон;loi
342;законодательство;législation
343;война;guerre
344;военный;militaire
345;бог;
346;голос;voix
347;голосовой;
348;глас;
349;находить ;
350;поэтому;donc
351;таким образом;
352;следовательно;
353;стоять;rester
354;встать;se lever
355;в целом;
356;как правило;
357;обычно;généralement
358;тысяча;mille
359;вместе;ensemble
360;совместный;commun
361;сообща;
362;маленький;petit
363;небольшой;petit
364;малый;petit
365;книга;livre
366;книжный;
367;книжка;livre
368;некоторый;
369;решить;résoudre
370;решать;résoudre
371;принять решение;
372;любой;n'importe quel
373;возможность;possibilité
374;результат;résultat
375;следствие;conséquence
376;приводить;conduire
377;ночь;nuit
378;вечер;soirée
379;ночной;nocturne
380;стол;table
381;таблица;tableau
382;столик;table
383;никогда;jamais
384;никогда не;
385;ни разу не;
386;имя;
387;название;
388;звать;
389;область;zone
390;регион;région
391;район;région
392;молодой;
393;юный;jeune
394;пройти;passer
395;проходить;
396;например;
397;к примеру;
398;статья;article
399;оно;
400;число;
401;количество;
402;компания;société
403;предприятие;entreprise
404;фирма;entreprise
405;государственный;d'État
406;государство;pays
407;штат;
408;полный;complet
409;полностью;complètement
410;народ;peuple
411;люди;gens
412;никакой;
413;супруга;
414;настоящий;vrai
415;реальный;réel
416;всякий;
417;группа;groupe
418;развитие;développement
419;разработка;développement
420;процесс;processus
421;процедура;procédure
422;суд;cour
423;судебный;judiciaire
424;ответить;répondre
425;ответ;réponse
426;старый;vieux
427;прежний;
428;условие;condition
429;состояние;état
430;средство;moyen
431;средства;
432;помнить;se rappeler
433;вспомнить;se souvenir
434;запомнить;se souvenir
435;начало;début
436;ждать;attendre
437;подождать;attendre
438;свет;lumière
439;легкое;poumon
440;путь;chemin
441;способ;moyen
442;душа;âme
443;соул;
444;нужно;
445;необходимый;nécessaire
446;необходимой;
447;разный;différent
448;различный;différent
449;уровень;niveau
450;объем;volume
451;степень;degré
452;иной;
453;форма;forme
454;образовать;
455;связь;lien
456;подключение;connexion
457;соединение;connexion
458;минута;
459;минутка;minute
460;кроме;
461;находиться;rester
462;опять;encore
463;снова;à nouveau
464;вновь;à nouveau
465;белый;blanc
466;белая;
467;собственный;propre
468;улица;rue
469;уличный;de rue
470;стрит;
471;черный;
472;черная;
473;чернокожий;
474;вечерний;
475;основный;
476;базовый;de base
477;качество;qualité
478;качественного;
479;мысль;pensée
480;думал;
481;подумал;
482;дорога;route
483;мать;
484;матерь;
485;мати;
486;действие;action
487;мера;mesure
488;месяц;mois
489;месячный;
490;язык;langue
491;языковой;
492;формулировка;formulation
493;зрение;vision
494;мама;
495;играть;jouer
496;сыграть;jouer
497;игра;jeu
498;далекий;
499;лежать;être
500;ложь;mensonge
501;врать;
502;лгать;mentir
503;век;siècle
504;столетие;siècle
505;школа;école
506;учебный;scolaire
507;цель;objectif
508;гол;
509;среди;parmi
510;общество;société
511;сообщество;communauté
512;выглядеть;paraître
513;активность;activité
514;мероприятие;événement
515;организация;organisation
516;кто-то;
517;вернуться;revenir
518;возвращение;retour
519;вернуть;récupérer
520;президент;président
521;председатель;président
522;комната;chambre
523;номер;numéro
524;зал;salle
525;порядок;ordre
526;приказ;ordre
527;заказ;commande
528;момент;moment
529;мгновение;instant
530;театр;théâtre
531;следовать;suivre
532;последовать;
533;следить за;
534;читать;lire
535;прочитать;lire
536;прочесть;
537;письмо;lettre
538;буква;lettre
539;послание;message
540;подобный;un tel
541;следующий;prochain
542;ближайший;plus proche
543;утро;matin
544;утренний;
545;особенно;en particulier
546;помощь;aide
547;помочь;aider à
548;помогать;aider
549;ситуация;situation
550;положение;situation
551;обстановка;situation
552;роль;rôle
553;функция;fonction
554;ходить;marcher
555;ходьба;marche
556;рубль;
557;рублем;
558;смысл;sens
559;называть;appeler
560;позвонить;appeler
561;призывать;
562;рядом;à proximité
563;апартамент;
564;назад;
565;обратно;inversement
566;равный;égal
567;равенство;égalité
568;из-за;
569;орган;
570;органный;
571;органные;
572;внимание;attention
573;сведения;informations
574;тело;corps
575;организм;
576;труд;travail
577;сын;
578;сынъ;
579;сынок;
580;пять;
581;пяти;
582;пятью;
583;смерть;mort
584;гибель;mort
585;смертный;mortel
586;рынок;marché
587;программа;programme
588;передача;transfert
589;задача;tâche
590;задание;mission
591;предпринимательство;
592;известный;connu
593;окно;fenêtre
594;стекло;verre
595;вести;mener
596;новость;nouvelle
597;воинский;
598;армия;armée
599;разговор;conversation
600;показать;montrer
601;показывать;montrer
602;правительство;gouvernement
603;важный;important
604;важное значение;
605;семья;famille
606;семейный;familial
607;семейство;
608;великий;grand
609;производство;production
610;производственный;production
611;продукция;
612;простой;simple
613;третий;
614;в-третьих;
615;насколько;
616;как сильно;
617;огромный;énorme
618;колоссальный;énorme
619;давно;
620;давным-давно;
621;политический;politique
622;политической;
623;информация;information
624;информационный;d'information
625;действительно;
626;правда;
627;должность;poste
628;поставить;mettre
629;положить;mettre
630;надеть;porter
631;бояться;craindre
632;наконец;enfin
633;наконец-то;enfin
634;центр;centre
635;центральный;central
636;происходить;se produire
637;произойти;se produire
638;иметь место;
639;муж;mari
640;супруг;
641;муженек;
642;автор;auteur
643;писатель;écrivain
644;писательница;écrivaine
645;стена;mur
646;стенка;paroi
647;существовать;exister
648;иметься;
649;интерес;intérêt
650;заинтересованность;intérêt
651;федерация;fédération
652;правило;règle
653;норма;
654;оба;
655;обоих;les deux
656;часто;souvent
657;зачастую;souvent
658;нередко;
659;московский;
660;управление;gestion
661;руководство;guide
662;регулирование;réglementation
663;слышать;entendre
664;услышать;entendre
665;слушать;écouter
666;быстро;rapidement
667;оперативно;
668;заметить;remarquer
669;уведомление;notification
670;замечать;remarquer
671;как-то;
672;почему-то;
673;мужчина;
674;чувак;
675;долго;longtemps
676;истина;vérité
677;идея;idée
678;партия;
679;иногда;parfois
680;порой;
681;использовать;utiliser
682;использование;utilisation
683;применение;utilisation
684;пытаться;
685;попробовать;essayer
686;попытаться;
687;готовый;prêt
688;представить;imaginer
689;представить себе;
