1;объединить;vereinen
2;оставить;lassen
3;бригада;Brigade
4;ребенок;Kind
5;фармацевт;Apotheker
6;брат;Bruder
7;вал;Val
8;суд;Gericht
9;ремонтник;Handwerker
10;результат;Ergebnis
11;население;Bevölkerung
12;рейтинг;Quote
13;ловушку;Falle
14;начинку;Füllung
15;приближаться;nähern
16;счет;Konto
17;подтверждать;bestätigen
18;уменьшаться;fallen
19;властный;gebieterisch
20;проснись;wach auf
21;усердно;hart
22;изысканно;elegant
23;совершать;begehen
24;бездарно;talentlos
25;бомбежка;Bombenangriff
26;специалист;Spezialist
27;привлекательности;Attraktivität
28;сковородка;Bratpfanne
29;морге;Leichenhalle
30;въехать;einziehen
31;тепло;Wärme
32;лечение;Behandlung
33;тактического;taktischen
34;арье;Arie
35;выполнить;ausführen
36;уменьшить;verringern
37;двигатели;Triebwerke
38;закрыла;schloss
39;кобура;Halfter
40;жюри;Jury
41;пожить;wohnen
42;растениями;Pflanzen
43;дозировка;Dosierung
44;недавний;jung
45;известный;bekannt
46;опубликовать;veröffentlichen
47;фольклор;Folklore
48;прямоугольный;rechteckig
49;касты;Kasten
50;предпочтений;Vorlieben
51;факт;Tatsache
52;большой;groß
53;долларов;Dollar
54;писание;Schrift
55;кота;Katze
56;сменят;Ablösung kommt
57;свита;Gefolge
58;упорство;Hartnäckigkeit
59;яма;Grube
60;лекарство;Heilmittel
61;охотником;Jäger
62;растения;Pflanzen
63;битвы;Schlacht
64;унаследовать;erben
65;наказать;bestrafen
66;настойчивый;hartnäckig
67;платеж;Zahlung
68;силе;Macht
69;узнаешь;wissen
70;господствовать;dominieren
71;обороняться;verteidigen
72;обязанность;Pflicht
73;таинственный;mysteriös
74;экспортировать;exportieren
75;автоколонну;Konvoi
76;вычеркнуть;ausschließen
77;считать;zählen
78;вычесть;abziehen
79;точно;genau
80;профессионализма;Professionalität
81;высмеивать;spotten
82;метал;Metall
83;устарели;veraltet
84;вывод;Schlussfolgerung
85;молиться;beten
86;гениев;Ginn
87;греч;griechisch
88;атласа;Atlas
89;владельцем;Besitzer
90;план;Plan
91;гарантия;Garantie
92;блоке;Block
93;мечтал;träumte davon
94;профсоюз;Gewerkschaft
95;искренность;Ehrlichkeit
96;заменитель;Ersatz
97;революционно;revolutionär
98;исключить;ausschließen
99;размножение;Fortpflanzung
100;правее;nach rechts
101;антенна;Antenne
102;рад;schön
103;флот;Flotte
104;изгнать;vertreiben
105;справедливость;Gerechtigkeit
106;бархат;Samt
107;алло;Hallo
108;кушетка;Sofa
109;альтернатива;Alternative
110;оппонент;Gegner
111;департамент;Department
112;поджарил;gegrillt
113;шепот;Flüstern
114;цветущий;blühend
115;истца;Klägers
116;дергаться;zucken
117;дружелюбие;Freundlichkeit
118;высвобождение;Freisetzung
119;монк;Monk
