1;обязательство;obligación
2;сущность;esencia
3;возрождение;renacimiento
4;торговли;comercial
5;умный;inteligente
6;потрясающий;impresionante
7;обратный;inverso
8;ассоциация;asociación
9;выплата;pago
10;нетерпеливо;impacientemente
11;пояс;cinturón
12;генетической;genética
13;крест;cruz
14;благочестивый;piadoso
15;блеск;brillo
16;парламентарий;parlamentario
17;акцент;énfasis
18;безразличие;indiferencia
19;свистеть;silbar
20;сеть;red
21;ранний;temprano
22;оружие;arma
23;больно;duele
24;общий;general
25;посох;bastón
26;свекр;suegro
27;заключить;concluir
28;твердо;firmemente
29;задыхаться;ahogarse
30;создатель;creador
31;седеющие;canoso
32;генерал-майора;mayor general
33;дорого;caro
34;субсидия;subsidio
35;привкус;sabor
36;помощь;asistencia
37;порт;puerto
38;елка;árbol
39;таинственность;misterio
40;волнение;emoción
41;сострадание;compasión
42;сигарета;cigarrillo
43;микроглиальное;cebado microglial
44;розжига;encendido
45;препятствие;obstáculo
46;наверху;arriba
47;особняке;mansión
48;завершив;completando
49;равный;igual
50;пшеница;trigo
51;носить;usar
52;семинар;seminario
53;молчит;calla
54;огромный;enorme
55;высмеивать;ridiculizar
56;коррекция;corrección
57;абсолют;absoluto
58;недоразумение;malentendido
59;посадить;plantar
60;орать;gritar
61;проклятие;maldición
62;желать;desear
63;синтез;síntesis
64;бунт;rebelión
65;заверил;aseguró a
66;нервничал;estaba nervioso
67;повторение;repetición
68;талия;cintura
69;освобождение;liberación
70;говядина;carne de res
71;лирично;lírico
72;танцевать;bailar
73;круглый;redonda
74;разногласие;desacuerdo
75;обвинить;acusar a
76;пчелка;abeja
77;яйцеклетка;óvulo
78;реализовать;realizar
79;историк;historiador
80;поляк;polaco
81;район;zona
82;крупнокалиберного;gran calibre
83;нанимать;contratar
84;трансляция;transmisión
85;доказательство;prueba
86;рады;encantados de
87;пакет;paquete
88;вечно;para siempre
89;теоретический;teórico
90;чудовище;monstruo
91;средней;media
92;переехать;mudar
93;наркотик;droga
94;стакан;vaso
95;пилотный;piloto
96;ясно;claro
97;направляться;dirigirse
98;нанять;contratar a
99;спс;la SFOR
100;баррель;barril
101;ритуал;ritual
102;комиссия;comisión
103;хранить;almacenar
104;период;periodo
105;зачать;concebir
106;парадокс;paradoja
107;ракета-носитель;cohete portador
108;сильный;fuerte
109;океана;del océano
110;заложить;establecer
111;цвет;color
112;миграция;migración
113;медитация;meditación
114;доступ;acceso
115;аспирантуру;escuela de posgrado
116;царь;rey
117;выпуклости;protuberancia
118;точно;exactamente
119;аргументация;argumento
120;армении;Armenia
121;директория;directorio
122;продовольствие;alimento
123;основной;principal
124;офицер;oficial
125;скользить;deslizarse
126;родить;tener
127;прожил;vivió
128;смущенный;avergonzado
129;кот;gato
130;рассмотреть;considerar
131;захватить;capturar
132;низкий;bajo
133;зеленый;verde
134;обожание;adoración
135;назвать;llamar
136;камеры;cámara
137;тетей;tía
138;наилучший;mejor
139;радиоактивный;radiactivo
140;невинный;inocente
141;испытуемый;sujeto
142;эксплуатация;explotación
143;биологический;biológico
144;взрослый;adulto
145;усвоить;aprender
146;крекер;galleta
147;монумент;monumento
148;оставить;dejar
149;осознать;comprender
150;девиз;lema
151;участок;parcela
152;ставка;tasa
153;регулярно;regularmente
154;кислый;ácido
155;благотворительный;benéfico
